City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,yeppoon,-23.1333,150.7333,23.88,72,52,3.3,AU,1707072759
263,sant cristofol de les fonts,42.1696,2.4994,13.72,40,44,1.34,ES,1707073025
264,lilongwe,-13.9669,33.7873,20.89,89,90,0.99,MW,1707072733
265,mwingi,-0.9344,38.0601,23.7,57,84,1.43,KE,1707073026
266,yangambi,0.8102,24.4336,26.04,40,37,0.67,CD,1707073026
267,rockland,41.1668,-74.0496,8.43,51,0,0.89,US,1707073026
268,plouzane,48.3833,-4.6167,10.1,79,100,3.09,FR,1707073026
269,luderitz,-26.6481,15.1594,19.78,83,4,4.16,NA,1707073026
270,zhanga buqtyrma,49.6295,83.5248,-12.29,91,100,1.08,KZ,1707073027
271,klyuchi,52.2667,79.1667,-4.42,89,100,5.39,RU,1707073027
272,sidi khaled,34.387,4.9879,15.39,38,0,1.37,DZ,1707073027
273,papao,-17.75,-149.55,27.82,83,100,6.11,PF,1707073027
274,peniche,39.3558,-9.3811,14.69,83,100,1.9,PT,1707073027
275,charters towers,-20.1,146.2667,23.9,82,100,4.07,AU,1707073028
276,horta,38.5333,-28.6333,17.23,92,75,9.83,PT,1707073028
277,muravlenko,63.7898,74.523,-23.31,100,98,2.97,RU,1707073028
278,castillos,-34.1667,-53.8333,23.87,53,14,5.45,UY,1707073028
279,kununurra,-15.7667,128.7333,26.99,94,8,2.06,AU,1707072810
280,lorengau,-2.0226,147.2712,28.12,81,100,3.06,PG,1707073029
281,puerto deseado,-47.7503,-65.8938,27.66,31,81,12.57,AR,1707073029
282,upington,-28.4478,21.2561,34.21,20,20,2.57,ZA,1707073029
283,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,81,0,3.13,RU,1707072565
284,ad dawadimi,24.5077,44.3924,14.64,28,72,6.48,SA,1707073030
285,dubbo,-32.25,148.6167,31.07,48,75,8.75,AU,1707073030
286,tamanrasset,22.785,5.5228,11.83,17,0,4.92,DZ,1707073030
287,sao vicente,-23.9631,-46.3919,28.98,51,20,1.54,BR,1707073031
288,kapuskasing,49.4169,-82.4331,4.0,56,20,0.0,CA,1707073031
289,cypress gardens,27.9939,-81.6901,22.94,73,75,7.72,US,1707073031
290,eyl,7.9803,49.8164,25.3,71,33,7.41,SO,1707073031
291,lamu,-2.2717,40.902,27.08,86,11,6.06,KE,1707073032
292,plettenberg bay,-34.0527,23.3716,20.95,90,5,2.02,ZA,1707072736
293,whitehorse,60.7161,-135.0538,-26.57,69,75,1.54,CA,1707073033
294,kerikeri,-35.2268,173.9474,11.62,91,3,1.63,NZ,1707073033
295,sovetskiy,61.3614,63.5842,-17.98,92,98,2.5,RU,1707073033
296,soygaon,20.6,75.6167,24.89,33,0,0.97,IN,1707073033
297,cill airne,52.05,-9.5167,10.59,87,97,4.58,IE,1707073034
298,north lakhimpur,27.2333,94.1167,15.95,55,98,1.85,IN,1707073034
299,deqen,29.9618,90.7188,0.14,24,58,10.24,CN,1707073034
300,jumilla,38.4792,-1.325,11.49,45,0,1.21,ES,1707073034
301,bardai,11.65,7.2333,21.54,15,100,4.69,NG,1707073034
302,punta cardon,11.6581,-70.215,28.04,72,23,2.12,VE,1707073035
303,revelstoke,50.9832,-118.2023,4.01,75,100,4.63,CA,1707073035
304,recas,45.7989,21.5008,11.14,75,0,1.54,RO,1707073035
305,shalqar,47.8333,59.6,0.72,94,100,7.79,KZ,1707073035
306,norilsk,69.3535,88.2027,-18.1,98,100,2.28,RU,1707073036
307,benevides,-1.3614,-48.2447,27.89,60,79,2.58,BR,1707073036
308,rio grande,-32.035,-52.0986,30.06,79,88,8.59,BR,1707073036
309,that phanom,16.9364,104.7104,24.31,68,0,1.34,TH,1707073036
310,san luis de la loma,17.2706,-100.8939,28.96,46,0,5.3,MX,1707073036
311,abancay,-13.6339,-72.8814,22.21,60,69,3.11,PE,1707073037
312,vernon,50.2581,-119.2691,2.64,91,100,2.06,CA,1707073037
313,ocos,14.5094,-92.1933,34.1,65,7,8.06,GT,1707073037
314,cromwell,41.5951,-72.6454,8.01,42,0,4.12,US,1707073037
315,goz beida,13.95,20.55,24.18,16,99,4.87,TD,1707073037
316,kralendijk,12.15,-68.2667,29.99,74,40,5.14,BQ,1707072952
317,guerrero negro,27.9769,-114.0611,18.31,50,0,2.6,MX,1707073038
318,valdivia,-39.8142,-73.2459,29.05,23,0,3.62,CL,1707073039
319,auki,-8.7676,160.7034,26.08,89,96,4.17,SB,1707073039
320,vila velha,-20.3297,-40.2925,29.97,71,20,6.17,BR,1707073039
321,nova vicosa,-17.8919,-39.3719,28.2,64,26,3.68,BR,1707073040
322,tubarjal,30.4999,38.216,11.51,41,5,1.42,SA,1707073040
323,jiaozuo,35.2397,113.2331,-6.15,89,10,1.95,CN,1707073040
324,shitanjing,39.2342,106.3439,-5.64,72,7,2.22,CN,1707073041
325,ribeirao branco,-24.2208,-48.7656,28.38,43,20,1.93,BR,1707073041
326,atafu village,-8.5421,-172.5159,28.65,79,100,9.91,TK,1707073041
327,lagos,6.5833,3.75,31.18,72,19,2.3,NG,1707072552
328,kristiansund,63.1115,7.732,0.36,93,75,2.57,NO,1707073042
329,nar'yan-mar,67.6713,53.087,-19.38,91,82,3.13,RU,1707073042
330,hauterive,46.0901,3.4459,3.88,90,78,0.59,FR,1707073042
331,severo-yeniseyskiy,60.3725,93.0408,-19.12,98,100,1.79,RU,1707073042
332,maamba,-17.3667,27.15,24.34,58,16,1.67,ZM,1707073042
333,riverton,40.5219,-111.9391,5.25,63,0,5.36,US,1707073043
334,ketchikan,55.3422,-131.6461,3.52,93,100,1.54,US,1707072768
335,nuuk,64.1835,-51.7216,-19.95,76,8,3.76,GL,1707073043
336,humberto de campos,-2.5983,-43.4611,31.57,60,50,4.53,BR,1707073043
337,coronel suarez,-37.4547,-61.9334,30.98,9,5,4.01,AR,1707073044
338,byakabanda,-0.7425,31.4064,18.99,74,100,1.69,UG,1707073044
339,erie,42.7667,-78.6664,5.14,67,0,0.89,US,1707072740
340,prince george,53.9166,-122.753,-9.31,85,0,2.06,CA,1707073044
341,byron bay,-28.65,153.6167,23.17,71,99,3.46,AU,1707073044
342,port nelson,23.6333,-74.8333,23.73,80,6,4.63,BS,1707073045
343,kupang,-10.1667,123.5833,26.32,100,40,1.03,ID,1707073045
344,obama,35.4958,135.746,5.53,72,100,1.82,JP,1707073045
345,settat,33.0007,-7.6204,14.9,64,100,2.65,MA,1707073045
346,awjilah,29.1081,21.2869,15.19,52,52,5.63,LY,1707073046
347,fort st. john,56.2499,-120.8529,-7.06,63,20,2.06,CA,1707072791
348,coaticook,45.1334,-71.7991,-2.13,84,100,2.85,CA,1707073046
349,ciudad fernandez,21.95,-100.0,29.06,6,0,7.04,MX,1707073046
350,kalenderovci donji,44.945,17.8339,4.74,73,30,1.6,BA,1707073046
351,strelka,58.0728,93.0344,-7.13,96,100,1.93,RU,1707073047
352,ponta delgada,37.7333,-25.6667,18.44,88,20,6.69,PT,1707073047
353,raffadali,37.4036,13.5331,9.4,75,0,2.89,IT,1707073047
354,yakeshi,49.2833,120.7333,-29.23,99,100,1.63,CN,1707073047
355,brookings,44.3114,-96.7984,2.32,100,100,3.6,US,1707073047
356,machali,-34.1833,-70.6667,29.6,37,0,5.14,CL,1707073048
357,champerico,14.3,-91.9167,32.3,63,12,8.49,GT,1707073048
358,bonthe,7.5264,-12.505,27.32,73,86,3.35,SL,1707073048
359,island harbour,50.724,-1.2758,12.04,91,94,4.02,GB,1707073048
360,amga,60.8953,131.9608,-39.81,100,83,0.54,RU,1707073048
361,halifax,44.6453,-63.5724,-1.95,93,100,8.05,CA,1707072815
